theme,url,img,lines,author
PATIENCE,/inspirational-quotes/7726-have-patience-all-things-are-difficult-before,https://assets.passiton.com/quotes/quote_artwork/7726/medium/20210408_thursday_quote.jpg?1617247212,Have patience. All things are difficult before they become easy. ,<Author:0x00007f5b3a789960>
PATIENCE,/inspirational-quotes/8076-patience-is-a-form-of-wisdom-it-demonstrates,https://assets.passiton.com/quotes/quote_artwork/8076/medium/20210407_wednesday_quote.jpg?1617247192,Patience is a form of wisdom. It demonstrates that we understand and accept the fact that sometimes things must unfold in their own time.,<Author:0x00007f5b3a7b8cb0>
PATIENCE,/inspirational-quotes/7725-patience-is-not-simply-the-ability-to-wait,https://assets.passiton.com/quotes/quote_artwork/7725/medium/20210406_tuesday_quote.jpg?1617247172,Patience is not simply the ability to wait - it's how we behave while we're waiting. ,<Author:0x00007f5b3a7e55d0>
PATIENCE,/inspirational-quotes/7167-patience-is-power-patience-is-not-an-absence,https://assets.passiton.com/quotes/quote_artwork/7167/medium/20210405_monday_quote.jpg?1617247155,"Patience is power. Patience is not an absence of action; rather it is ""timing"" it waits on the right time to act, for the right principles and in the right way.",<Author:0x00007f5b3a81f398>
COMPASSION,/inspirational-quotes/8201-compassion-for-others-begins-with-kindness-to,https://assets.passiton.com/quotes/quote_artwork/8201/medium/20210402_friday_quote_alt.jpg?1616790848,Compassion for others begins with kindness to ourselves.,<Author:0x00007f5b3a84b588>
COMPASSION,/inspirational-quotes/7236-a-kind-gesture-can-reach-a-wound-that-only,https://assets.passiton.com/quotes/quote_artwork/7236/medium/20210401_thursday_quote.jpg?1616790660,A kind gesture can reach a wound that only compassion can heal.,<Author:0x00007f5b3a88d140>
COMPASSION,/inspirational-quotes/6166-our-task-must-be-to-widen-our-circle-of,https://assets.passiton.com/quotes/quote_artwork/6166/medium/20210331_wednesday_quote.jpg?1616790633,"Our task must be to widen our circle of compassion, to embrace all living creatures and the whole of nature in its beauty. ",<Author:0x00007f5b3a8cbeb8>
COMPASSION,/inspirational-quotes/8200-there-never-was-any-heart-truly-great-and,https://assets.passiton.com/quotes/quote_artwork/8200/medium/20210330_tuesday_quote.jpg?1616790607,"There never was any heart truly great and generous, that was not also tender and compassionate.",<Author:0x00007f5b3a8f6be0>
COMPASSION,/inspirational-quotes/8199-compassion-is-a-power-that-we-first-bestow-on,https://assets.passiton.com/quotes/quote_artwork/8199/medium/20210329_monday_quote.jpg?1616790583,"Compassion is a power that we first bestow on ourselves and then give away through our actions—to people, to our planet. When we recognize this, that is when love becomes our legacy. ",<Author:0x00007f5b3a9763b8>
MINDFULNESS,/inspirational-quotes/7128-surrender-to-what-is-let-go-of-what-was-have,https://assets.passiton.com/quotes/quote_artwork/7128/medium/20210326_friday_quote.jpg?1616003638,"Surrender to what is, let go of what was, have faith in what will be. ",<Author:0x00007f5b3a91f338>
